2200053;Acauã;;;PI
2200103;Agricolândia;;;PI
2200202;Água Branca;;;PI
2200251;Alagoinha do Piauí;;;PI
2200277;Alegrete do Piauí;;;PI
2200301;Alto Longá;;;PI
2200400;Altos;;;PI
2200459;Alvorada do Gurguéia;;;PI
2200509;Amarante;;;PI
2200608;Angical do Piauí;;;PI
2200707;Anísio de Abreu;;;PI
2200806;Antônio Almeida;;;PI
2200905;Aroazes;;;PI
2200954;Aroeiras do Itaim;;;PI
2201002;Arraial;;;PI
2201051;Assunção do Piauí;;;PI
2201101;Avelino Lopes;;;PI
2201150;Baixa Grande do Ribeiro;;;PI
2201176;Barra D'Alcântara;;;PI
2201200;Barras;;;PI
2201309;Barreiras do Piauí;;;PI
2201408;Barro Duro;;;PI
2201507;Batalha;;;PI
2201556;Bela Vista do Piauí;;;PI
2201572;Belém do Piauí;;;PI
2201606;Beneditinos;;;PI
2201705;Bertolínia;;;PI
2201739;Betânia do Piauí;;;PI
2201770;Boa Hora;;;PI
2201804;Bocaina;;;PI
2201903;Bom Jesus;;;PI
2201919;Bom Princípio do Piauí;;;PI
2201929;Bonfim do Piauí;;;PI
2201945;Boqueirão do Piauí;;;PI
2201960;Brasileira;;;PI
2201988;Brejo do Piauí;;;PI
2202000;Buriti dos Lopes;;;PI
2202026;Buriti dos Montes;;;PI
2202059;Cabeceiras do Piauí;;;PI
2202075;Cajazeiras do Piauí;;;PI
2202083;Cajueiro da Praia;;;PI
2202091;Caldeirão Grande do Piauí;;;PI
2202109;Campinas do Piauí;;;PI
2202117;Campo Alegre do Fidalgo;;;PI
2202133;Campo Grande do Piauí;;;PI
2202174;Campo Largo do Piauí;;;PI
2202208;Campo Maior;;;PI
2202251;Canavieira;;;PI
2202307;Canto do Buriti;;;PI
2202455;Capitão Gervásio Oliveira;;;PI
2202406;Capitão de Campos;;;PI
2202505;Caracol;;;PI
2202539;Caraúbas do Piauí;;;PI
2202554;Caridade do Piauí;;;PI
2202604;Castelo do Piauí;;;PI
2202653;Caxingó;;;PI
2202703;Cocal;;;PI
2202711;Cocal de Telha;;;PI
2202729;Cocal dos Alves;;;PI
2202737;Coivaras;;;PI
2202752;Colônia do Gurguéia;;;PI
2202778;Colônia do Piauí;;;PI
2202802;Conceição do Canindé;;;PI
2202851;Coronel José Dias;;;PI
2202901;Corrente;;;PI
2203008;Cristalândia do Piauí;;;PI
2203107;Cristino Castro;;;PI
2203206;Curimatá;;;PI
2203230;Currais;;;PI
2203271;Curral Novo do Piauí;;;PI
2203255;Curralinhos;;;PI
2203305;Demerval Lobão;;;PI
2203354;Dirceu Arcoverde;;;PI
2203404;Dom Expedito Lopes;;;PI
2203453;Dom Inocêncio;;;PI
2203420;Domingos Mourão;;;PI
2203503;Elesbão Veloso;;;PI
2203602;Eliseu Martins;;;PI
2203701;Esperantina;;;PI
2203750;Fartura do Piauí;;;PI
2203800;Flores do Piauí;;;PI
2203859;Floresta do Piauí;;;PI
2203909;Floriano;;;PI
2204006;Francinópolis;;;PI
2204105;Francisco Ayres;;;PI
2204154;Francisco Macedo;;;PI
2204204;Francisco Santos;;;PI
2204303;Fronteiras;;;PI
2204352;Geminiano;;;PI
2204402;Gilbués;;;PI
2204501;Guadalupe;;;PI
2204550;Guaribas;;;PI
2204600;Hugo Napoleão;;;PI
2204659;Ilha Grande;;;PI
2204709;Inhuma;;;PI
2204808;Ipiranga do Piauí;;;PI
2204907;Isaías Coelho;;;PI
2205003;Itainópolis;;;PI
2205102;Itaueira;;;PI
2205151;Jacobina do Piauí;;;PI
2205201;Jaicós;;;PI
2205250;Jardim do Mulato;;;PI
2205276;Jatobá do Piauí;;;PI
2205300;Jerumenha;;;PI
2205359;João Costa;;;PI
2205409;Joaquim Pires;;;PI
2205458;Joca Marques;;;PI
2205508;José de Freitas;;;PI
2205516;Juazeiro do Piauí;;;PI
2205524;Júlio Borges;;;PI
2205532;Jurema;;;PI
2205557;Lagoa Alegre;;;PI
2205573;Lagoa de São Francisco;;;PI
2205565;Lagoa do Barro do Piauí;;;PI
2205581;Lagoa do Piauí;;;PI
2205599;Lagoa do Sítio;;;PI
2205540;Lagoinha do Piauí;;;PI
2205607;Landri Sales;;;PI
2205706;Luís Correia;;;PI
2205805;Luzilândia;;;PI
2205854;Madeiro;;;PI
2205904;Manoel Emídio;;;PI
2205953;Marcolândia;;;PI
2206001;Marcos Parente;;;PI
2206050;Massapê do Piauí;;;PI
2206100;Matias Olímpio;;;PI
2206209;Miguel Alves;;;PI
2206308;Miguel Leão;;;PI
2206357;Milton Brandão;;;PI
2206407;Monsenhor Gil;;;PI
2206506;Monsenhor Hipólito;;;PI
2206605;Monte Alegre do Piauí;;;PI
2206654;Morro Cabeça no Tempo;;;PI
2206670;Morro do Chapéu do Piauí;;;PI
2206696;Murici dos Portelas;;;PI
2206704;Nazaré do Piauí;;;PI
2206720;Nazária;;;PI
2206753;Nossa Senhora de Nazaré;;;PI
2206803;Nossa Senhora dos Remédios;;;PI
2207959;Nova Santa Rita;;;PI
2206902;Novo Oriente do Piauí;;;PI
2206951;Novo Santo Antônio;;;PI
2207009;Oeiras;;;PI
2207108;Olho D'Água do Piauí;;;PI
2207207;Padre Marcos;;;PI
2207306;Paes Landim;;;PI
2207355;Pajeú do Piauí;;;PI
2207405;Palmeira do Piauí;;;PI
2207504;Palmeirais;;;PI
2207553;Paquetá;;;PI
2207603;Parnaguá;;;PI
2207702;Parnaíba;;;PI
2207751;Passagem Franca do Piauí;;;PI
2207777;Patos do Piauí;;;PI
2207793;Pau D'Arco do Piauí;;;PI
2207801;Paulistana;;;PI
2207850;Pavussu;;;PI
2207900;Pedro II;;;PI
2207934;Pedro Laurentino;;;PI
2208007;Picos;;;PI
2208106;Pimenteiras;;;PI
2208205;Pio IX;;;PI
2208304;Piracuruca;;;PI
2208403;Piripiri;;;PI
2208502;Porto;;;PI
2208551;Porto Alegre do Piauí;;;PI
2208601;Prata do Piauí;;;PI
2208650;Queimada Nova;;;PI
